,Observation ID,Camera,Exposure Identifier,Ring Number,Exposure Time,l,b,Target,Target Type
6001,0405550301,PN,U002,8,2.3117646399449,317.21092379593966,-25.80049878784532,RXCJ1840.6-7709,CLUSTER OF GALAXIES (NON-ABELL) WITH COOLING FLOW
6002,0402780201,MOS1,S001,12,4.06658811449283,302.39021880706406,63.1000223073227,J125027.42+001345.5,RADIO GALAXY RADIO LOUD TYPE 1
6003,0402780201,PN,S003,12,2.6225338040034303,302.39021880706406,63.1000223073227,J125027.42+001345.5,RADIO GALAXY RADIO LOUD TYPE 1
6004,0405100101,MOS1,S001,19,93.22721828878142,245.23578123478782,-4.504716742327538,PSR J0737-3039,RADIO PULSAR
6005,0405100101,MOS2,S002,19,93.9179030539152,245.23578123478782,-4.504716742327538,PSR J0737-3039,RADIO PULSAR
6006,0404965401,MOS1,S003,20,13.838132536551,172.57436685713523,-59.598308750266206,XMM-LSS_40,CLUSTER OF GALAXIES (NON-ABELL)
6007,0404965401,PN,S005,20,9.71009219562626,172.57436685713523,-59.598308750266206,XMM-LSS_40,CLUSTER OF GALAXIES (NON-ABELL)
6008,0406030101,MOS1,S001,9,76.0443284865695,305.61414982607624,-6.924929294761079,MP Mus,T TAURI STAR
6009,0406030101,PN,S003,9,54.418197230321205,305.61414982607624,-6.924929294761079,MP Mus,T TAURI STAR
6010,0402560501,MOS1,S001,19,50.39616305452889,120.5417238422505,-21.837176286752143,M 31 SN2,SPIRAL GALAXY UNBARRED FLAT RADIO SP
6011,0402781401,MOS1,S001,18,17.8771454359504,242.79732876484383,44.34146153805293,J101806.68+000559.7,RADIO GALAXY RADIO LOUD TYPE 1
6012,0406210201,MOS1,S001,12,27.468938015268197,293.80700537332166,50.86876555077385,cl1227-11,CLUSTER OF GALAXIES ABELL CLASS <0 WITH COOLING FLOW
6013,0406210201,PN,S003,12,20.205439671293,293.80700537332166,50.86876555077385,cl1227-11,CLUSTER OF GALAXIES ABELL CLASS <0 WITH COOLING FLOW
6014,0403530401,MOS1,S001,19,6.4244036284395385,121.79461759624762,-21.19752015913432,Bo375,LMXRB GLOBULAR CLUSTER
6015,0403530401,MOS2,S002,19,6.37093883512333,121.79461759624762,-21.19752015913432,Bo375,LMXRB GLOBULAR CLUSTER
6016,0402560201,MOS1,S001,19,20.229441340617498,121.31162352356158,-21.926712260708847,M 31 SS1,SPIRAL GALAXY HII REGION FLAT RADIO SP
6017,0402660201,MOS1,S001,17,26.795723830671395,155.07660562170392,75.06318197486391,NGC 4151,SEYFERT RADIO QUIET TYPE 1.5
6018,0405690501,MOS1,S001,17,23.0691071915342,113.49211795552608,58.004217329379166,NGC 5204 X-1,X-RAY BINARY
6019,0405690501,PN,S003,17,17.759291259362506,113.49211795552608,58.004217329379166,NGC 5204 X-1,X-RAY BINARY
6020,0405100201,MOS1,S001,19,105.296877523565,245.23578123478782,-4.504716742327538,PSR J0737-3039,RADIO PULSAR
6021,0405100201,MOS2,S002,19,107.064635128064,245.23578123478782,-4.504716742327538,PSR J0737-3039,RADIO PULSAR
6022,0405340101,MOS1,S001,20,29.002022491164798,200.2066031179634,52.707061075691904,3C 234,QSO RADIO LOUD TYPE 2
6023,0405340101,MOS2,S002,20,29.6046316820614,200.2066031179634,52.707061075691904,3C 234,QSO RADIO LOUD TYPE 2
6024,0406210101,MOS1,U002,15,79.6874267483812,266.254469154319,42.31352163286707,cl1103-12,CLUSTER OF GALAXIES ABELL CLASS <0 WITH COOLING FLOW
6025,0406210101,PN,U002,15,66.9172682044706,266.254469154319,42.31352163286707,cl1103-12,CLUSTER OF GALAXIES ABELL CLASS <0 WITH COOLING FLOW
6026,0402560701,MOS1,S001,19,25.946399925737406,120.39217337469243,-22.180604597262764,M 31 SN3,SPIRAL GALAXY UNBARRED FLAT RADIO SP
6027,0402560701,PN,S003,19,14.950771267909401,120.39217337469243,-22.180604597262764,M 31 SN3,SPIRAL GALAXY UNBARRED FLAT RADIO SP
6028,0405510701,MOS1,S001,1,25.2630315093869,353.5310008289659,-5.005249395580371,4U 1746-371,LMXRB BURSTER DIPPER
6029,0405690201,MOS1,S001,17,29.2934066723396,113.49211795552608,58.004217329379166,NGC 5204 X-1,X-RAY BINARY
6030,0405690201,PN,S003,17,18.4214815184253,113.49211795552608,58.004217329379166,NGC 5204 X-1,X-RAY BINARY
6031,0402780101,MOS1,S001,18,13.2709746541992,242.79732876484383,44.34146153805293,J101806.68+000559.7,RADIO GALAXY RADIO LOUD TYPE 1
6032,0402780101,PN,S003,18,10.287555296780901,242.79732876484383,44.34146153805293,J101806.68+000559.7,RADIO GALAXY RADIO LOUD TYPE 1
6033,0402970101,PN,S003,14,2.2565166599295403,276.9613272977433,-36.99982611846029,SNRC J0448-6658,SNR
6034,0404964801,MOS1,S003,20,9.599546951779391,173.76905847533172,-58.55803403398154,XMM-LSS_34,CLUSTER OF GALAXIES (NON-ABELL)
6035,0404964801,PN,S005,20,6.410880931926741,173.76905847533172,-58.55803403398154,XMM-LSS_34,CLUSTER OF GALAXIES (NON-ABELL)
6036,0405210401,MOS1,S001,26,2.3449441741838903,194.91388348211086,-15.523974432402847,LDN1588,STAR FORMING REGION
6037,0404920201,MOS1,S001,20,32.092421139404,233.2057320365765,24.16418042722044,GJ 327,STAR G5V
6038,0404920201,MOS2,S002,20,32.4833813719291,233.2057320365765,24.16418042722044,GJ 327,STAR G5V
6039,0403400101,MOS1,S001,17,25.1764749368402,257.20706121706286,9.706825647366367,T Pyx,CV RECURRENT NOVA FAST
6040,0403400101,PN,S003,17,19.282374337664606,257.20706121706286,9.706825647366367,T Pyx,CV RECURRENT NOVA FAST
6041,0405600401,MOS1,S001,12,13.2962369723584,76.40579443221229,3.6757905524802537,Nova Cyg 2005,CV CLASSICAL NOVA
6042,0405600401,MOS2,S002,12,13.9551412314588,76.40579443221229,3.6757905524802537,Nova Cyg 2005,CV CLASSICAL NOVA
6043,0404967301,MOS1,S003,20,13.063542182035501,169.19652363773938,-58.90179065442096,XMM-LSS_59,CLUSTER OF GALAXIES (NON-ABELL)
6044,0404967301,PN,U002,20,7.666769560959129,169.19652363773938,-58.90179065442096,XMM-LSS_59,CLUSTER OF GALAXIES (NON-ABELL)
6045,0402780701,MOS1,S001,24,13.262375244570801,171.13200017908545,32.74916498667552,J081040.29+481233.2,RADIO GALAXY RADIO LOUD TYPE 1
6046,0404968401,MOS1,S003,20,3.99777138314466,167.3845241677288,-58.80874117363269,XMM-LSS_70,UNDEFINED
6047,0404968401,PN,S005,20,2.9329654478675096,167.3845241677288,-58.80874117363269,XMM-LSS_70,UNDEFINED
6048,0402560101,MOS1,S001,19,5.22973143141864,120.33777693190865,-22.5584887514427,M 31 S3,SPIRAL GALAXY UNBARRED FLAT RADIO SP
6049,0402560101,MOS1,U002,19,2.8822327788426203,120.33777693190865,-22.5584887514427,M 31 S3,SPIRAL GALAXY UNBARRED FLAT RADIO SP
6050,0402560101,PN,S003,19,4.45358855481199,120.33777693190865,-22.5584887514427,M 31 S3,SPIRAL GALAXY UNBARRED FLAT RADIO SP
6051,0406570701,MOS1,S001,27,11.6638169036372,182.2988414124308,-17.836857123975587,DR Tau,T TAURI STAR
6052,0406570701,PN,S003,27,8.078369647262031,182.2988414124308,-17.836857123975587,DR Tau,T TAURI STAR
6053,0402370101,MOS1,S001,22,33.992108355296004,187.50858737836742,46.01102348929361,SDSS J0926+3624,CV NOVA LIKE ECLIPSING
6054,0402370101,PN,S002,22,27.264103598164397,187.50858737836742,46.01102348929361,SDSS J0926+3624,CV NOVA LIKE ECLIPSING
